Корневой ИД заявки,ИД версии заявки,Номер заявки,Дата создания заявки в формате Timezone,Дата начала действия версии заявки в формате Timezone,Признак инцидента,Корневой идентификатор категории дефекта,Код категории дефекта,Идентификатор дефекта,Признак дефекта возврата на доработку,"Наименование категории срочности: Аварийная, Обычная",Наименование округа,Код округа,Наименование района,Код района,Наименование статуса заявки,Идентификатор корневой версии вида выполненных работ,Идентификатор корневой версии охранных мероприятий,Результативность,Кол-во возвратов на доработку,Дата закрытия,Отзыв,Оценка качества выполнения работ,Код оценки качества выполнения ра
73407319,73407724,00000001/21,2021-01-01 00:01:09.519196+03,2021-01-01 01:05:24.918411+03,Нет,1595,,2209,Нет,Аварийная,ЗАО,800,Дорогомилово,805,Закрыта,15216,,Выполнено,,2021-01-01 01:05:24.918411+03,,,
73407334,73518681,00000002/21,2021-01-01 00:05:37.696825+03,2021-01-03 15:55:37.043081+03,Нет,1594,,4094,Нет,Аварийная,ЗелАО,1000,Крюково,1005,Закрыта,18324,18346,Выполнено,,2021-01-01 01:03:13.839464+03,,,
73407348,73407875,00000003/21,2021-01-01 00:10:24.013142+03,2021-01-01 01:26:50.498063+03,Нет,53,,2297,Нет,Аварийная,СВАО,300,Северное Медведково,314,Закрыта,14980,,Выполнено,,2021-01-01 01:26:50.498063+03,,,
73407353,73415362,00000004/21,2021-01-01 00:11:36.915305+03,2021-01-01 11:19:31.973065+03,Да,53,,2297,Нет,Обычная,ЦАО,100,Пресненский,106,Закрыта,15910,,Выполнено,,2021-01-01 11:19:31.973065+03,,,
73407366,73518683,00000005/21,2021-01-01 00:13:20.704235+03,2021-01-03 15:55:37.42304+03,Да,53,,2297,Нет,Обычная,ЗАО,800,Филевский Парк,818,Закрыта,14980,,Выполнено,,2021-01-01 00:41:08.708978+03,Работы выполнены,Плохо,bad
73407370,73407404,00000006/21,2021-01-01 00:15:12.837134+03,2021-01-01 00:22:55.188199+03,Нет,1594,,4094,Нет,Аварийная,ЮВАО,500,Южнопортовый,515,Закрыта,18262,,Оказана консультация,,2021-01-01 00:22:55.188199+03,,,
73407374,73514354,00000007/21,2021-01-01 00:17:05.07937+03,2021-01-03 14:55:32.042632+03,Нет,59,,1822,Нет,Аварийная,ЮВАО,500,Люблино,508,Закрыта,15514,15404,Выполнено,,2021-01-01 01:50:03.731484+03,Работы выполнены,Хорошо,good
73407382,73514352,00000008/21,2021-01-01 00:18:31.426745+03,2021-01-03 14:55:31.621987+03,Нет,57,,2019,Нет,Обычная,СЗАО,900,Щукино,907,Закрыта,15514,,Выполнено,,2021-01-01 01:05:42.877065+03,Работы выполнены,Хорошо,good
73407384,73407391,00000009/21,2021-01-01 00:18:54.233266+03,2021-01-01 00:19:57.926797+03,Нет,56,,2261,Нет,Обычная,ЮЗАО,700,Ломоносовский,706,Закрыта,18262,,Оказана консультация,,2021-01-01 00:19:57.926797+03,,,
73407395,73518679,00000010/21,2021-01-01 00:21:46.140271+03,2021-01-03 15:55:36.615857+03,Нет,1594,,2229,Нет,Аварийная,САО,200,Коптево,210,Закрыта,15420,15378,Оказана консультация,,2021-01-01 01:11:49.036689+03,Работы выполнены,Хорошо,good
73407397,73407425,00000011/21,2021-01-01 00:22:03.010394+03,2021-01-01 00:25:41.651999+03,Нет,59,,1822,Нет,Аварийная,ЮЗАО,700,Зюзино,703,Закрыта,14979,15404,Оказана консультация,,2021-01-01 00:25:41.651999+03,,,
73407402,73407558,00000012/21,2021-01-01 00:22:40.6973+03,2021-01-01 00:43:47.735972+03,Нет,53,,1718,Нет,Обычная,ЗАО,800,Филевский Парк,818,Закрыта,15444,,Выполнено,,2021-01-01 00:43:47.735972+03,,,
73407408,73414638,00000013/21,2021-01-01 00:23:26.964256+03,2021-01-01 11:01:32.601769+03,Нет,1596,,2089,Нет,Обычная,ЗАО,800,Крылатское,806,Закрыта,15897,,Выполнено,,2021-01-01 11:01:32.601769+03,,,
73407418,73522395,00000014/21,2021-01-01 00:25:05.197589+03,2021-01-03 16:55:41.789048+03,Нет,1594,,2164,Нет,Аварийная,ЮВАО,500,Выхино-Жулебино,504,Закрыта,15420,15378,Оказана консультация,,2021-01-01 01:42:04.261999+03,,,
73407421,73407686,00000015/21,2021-01-01 00:25:28.010612+03,2021-01-01 01:00:48.879148+03,Нет,59,,1822,Нет,Аварийная,ЮАО,600,Орехово-Борисово Северное,616,Закрыта,18278,15404,Выполнено,,2021-01-01 01:00:48.879148+03,,,
73407423,73518684,00000016/21,2021-01-01 00:25:40.348505+03,2021-01-03 15:55:37.42304+03,Нет,53,,2297,Нет,Обычная,ЗАО,800,Филевский Парк,818,Закрыта,14980,,Выполнено,,2021-01-01 00:41:08.708978+03,,,
73407429,73415363,00000017/21,2021-01-01 00:25:48.272655+03,2021-01-01 11:19:31.973065+03,Нет,53,,2297,Нет,Обычная,ЦАО,100,Пресненский,106,Закрыта,15910,,Выполнено,,2021-01-01 11:19:31.973065+03,,,
73407438,73407894,00000018/21,2021-01-01 00:27:08.642651+03,2021-01-01 01:29:57.010943+03,Нет,59,,1822,Нет,Аварийная,САО,200,Хорошевский,217,Закрыта,18248,15404,Не выполнено по инициативе УК/ОО,,2021-01-01 01:29:57.010943+03,,,
73407443,73514347,00000019/21,2021-01-01 00:28:12.355358+03,2021-01-03 14:55:29.703913+03,Нет,54,,2425,Да,Обычная,ЦАО,100,Пресненский,106,Закрыта,18253,,Не выполнено по инициативе жителя,,2021-01-01 00:56:16.438847+03,Работы выполнены,Хорошо,good
73407445,73514346,00000020/21,2021-01-01 00:28:25.469974+03,2021-01-03 14:55:29.309041+03,Нет,59,,1822,Нет,Аварийная,ЮЗАО,700,Зюзино,703,Закрыта,15514,15404,Выполнено,,2021-01-01 01:08:24.768306+03,,Удовлетворительно,neutral
73407450,73514345,00000021/21,2021-01-01 00:29:39.982411+03,2021-01-03 14:55:28.901686+03,Нет,59,,1822,Нет,Аварийная,ЦАО,100,Таганский,107,Закрыта,18254,,Не выполнено по инициативе жителя,,2021-01-01 00:44:19.119437+03,,,
73407452,73407622,00000022/21,2021-01-01 00:29:42.786745+03,2021-01-01 00:53:04.8126+03,Нет,51,,1771,Нет,Обычная,СВАО,300,Бутырский,305,Закрыта,15142,,Выполнено,,2021-01-01 00:53:04.8126+03,,,
73407459,73514344,00000023/21,2021-01-01 00:30:47.329368+03,2021-01-03 14:55:28.45565+03,Нет,1594,,2229,Нет,Аварийная,ЮЗАО,700,Академический,701,Закрыта,15817,15378,Выполнено,,2021-01-01 01:32:58.320492+03,Работы выполнены,Хорошо,good
73407461,73407692,00000024/21,2021-01-01 00:31:05.172611+03,2021-01-01 01:01:13.205397+03,Нет,56,,2261,Нет,Обычная,ЗелАО,1000,Старое Крюково,1012,Закрыта,15787,,Выполнено,,2021-01-01 01:01:13.205397+03,,,
73407474,73407717,00000025/21,2021-01-01 00:32:54.713413+03,2021-01-01 01:04:38.508494+03,Нет,56,,2261,Нет,Обычная,ЮЗАО,700,Коньково,704,Закрыта,15787,,Выполнено,,2021-01-01 01:04:38.508494+03,,,
73407476,73407863,00000026/21,2021-01-01 00:33:11.005975+03,2021-01-01 01:25:17.720298+03,Нет,1594,,2157,Нет,Аварийная,ВАО,400,Перово,413,Закрыта,15280,18426,Выполнено,,2021-01-01 01:25:17.720298+03,,,
73407494,73514341,00000027/21,2021-01-01 00:35:31.098368+03,2021-01-03 14:55:27.601042+03,Нет,53,,2297,Нет,Обычная,ВАО,400,Соколиная Гора,417,Закрыта,15121,,Выполнено,,2021-01-01 03:51:58.638388+03,Работы выполнены,Удовлетворительно,neutral
73407495,73410164,00000028/21,2021-01-01 00:35:39.633286+03,2021-01-01 08:00:53.31252+03,Нет,53,,1801,Нет,Обычная,ЮВАО,500,Рязанский,513,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 08:00:53.31252+03,,,
73407496,73407565,00000029/21,2021-01-01 00:35:55.914958+03,2021-01-01 00:45:08.066594+03,Нет,59,,1822,Нет,Аварийная,ЮЗАО,700,Академический,701,Закрыта,18254,,Не выполнено по инициативе жителя,,2021-01-01 00:45:08.066594+03,,,
73407508,73514338,00000030/21,2021-01-01 00:38:17.740797+03,2021-01-03 14:55:27.175507+03,Нет,59,,2149,Да,Обычная,ВАО,400,Гольяново,406,Закрыта,15605,15378,Выполнено,,2021-01-01 01:49:21.528446+03,Работы выполнены,Хорошо,good
73407515,73407708,00000031/21,2021-01-01 00:38:46.31899+03,2021-01-01 01:03:23.533526+03,Нет,51,,1777,Да,Обычная,САО,200,Восточное Дегунино,206,Закрыта,15594,,Выполнено,,2021-01-01 01:03:23.533526+03,,,
73407519,73407803,00000032/21,2021-01-01 00:39:07.193816+03,2021-01-01 01:15:28.247774+03,Нет,1597,,2234,Нет,Обычная,ЗАО,800,Филевский Парк,818,Закрыта,14979,,Оказана консультация,,2021-01-01 01:15:28.247774+03,,,
73407524,73514336,00000033/21,2021-01-01 00:39:37.336744+03,2021-01-03 14:55:26.769258+03,Нет,1594,,2238,Нет,Аварийная,САО,200,Хорошевский,217,Закрыта,15288,18346,Выполнено,,2021-01-01 03:00:51.132794+03,Работы выполнены,Хорошо,good
73407532,73411415,00000034/21,2021-01-01 00:40:47.245788+03,2021-01-01 09:26:11.089844+03,Нет,1594,,4093,Нет,Обычная,ЮЗАО,700,Обручевский,707,Закрыта,18258,,Не выполнено по инициативе УК/ОО,,2021-01-01 09:26:11.089844+03,,,
73407535,73413328,00000035/21,2021-01-01 00:40:56.126166+03,2021-01-01 10:27:37.225172+03,Нет,1594,,1928,Да,Обычная,ЮАО,600,Чертаново Северное,619,Закрыта,15420,,Оказана консультация,,2021-01-01 10:27:37.225172+03,,,
73407541,73418205,00000036/21,2021-01-01 00:41:18.822824+03,2021-01-01 12:24:44.313997+03,Нет,1595,,2240,Да,Обычная,САО,200,Савеловский,213,Закрыта,15261,,Выполнено,,2021-01-01 12:24:44.313997+03,,,
73407553,73514334,00000037/21,2021-01-01 00:43:07.770954+03,2021-01-03 14:55:26.329399+03,Нет,59,,1822,Нет,Аварийная,ЮЗАО,700,Коньково,704,Закрыта,18278,15404,Выполнено,,2021-01-01 01:28:50.191794+03,Работы выполнены,Хорошо,good
73407572,73407997,00000038/21,2021-01-01 00:45:38.133463+03,2021-01-01 01:44:15.059847+03,Нет,56,,2261,Нет,Обычная,СВАО,300,Свиблово,313,Закрыта,"15471,15787",,Выполнено,,2021-01-01 01:44:15.059847+03,,,
73407573,73408517,00000039/21,2021-01-01 00:45:57.902642+03,2021-01-01 02:58:42.792896+03,Нет,1597,,2234,Нет,Обычная,СВАО,300,Ярославский,317,Закрыта,15213,,Выполнено,,2021-01-01 02:58:42.792896+03,,,
73407579,73514332,00000040/21,2021-01-01 00:46:40.290567+03,2021-01-03 14:55:25.929406+03,Нет,1594,,2229,Нет,Аварийная,ЗАО,800,Ново-Переделкино,811,Закрыта,15420,,Оказана консультация,,2021-01-01 01:36:19.700793+03,Работы выполнены,Хорошо,good
73407583,73514331,00000041/21,2021-01-01 00:46:46.179551+03,2021-01-03 14:55:25.433303+03,Нет,53,,2297,Нет,Обычная,ВАО,400,Соколиная Гора,417,Закрыта,15121,,Выполнено,,2021-01-01 03:52:23.052956+03,Работы выполнены,Хорошо,good
73407586,73514330,00000042/21,2021-01-01 00:47:32.440469+03,2021-01-03 14:55:25.030632+03,Нет,1594,,4094,Нет,Аварийная,ЮЗАО,700,Коньково,704,Закрыта,15420,18426,Оказана консультация,,2021-01-01 01:19:33.668433+03,Работы выполнены,Удовлетворительно,neutral
73407589,73408557,00000043/21,2021-01-01 00:48:20.973286+03,2021-01-01 03:04:28.386753+03,Нет,1595,,2254,Нет,Аварийная,САО,200,Коптево,210,Закрыта,"14912,15261",13780,Выполнено,,2021-01-01 03:04:28.386753+03,,,
73407592,73407852,00000044/21,2021-01-01 00:49:01.678277+03,2021-01-01 01:23:16.331681+03,Нет,56,,2261,Нет,Аварийная,СВАО,300,Лосиноостровский,307,Закрыта,15471,,Выполнено,,2021-01-01 01:23:16.331681+03,,,
73407593,73407693,00000045/21,2021-01-01 00:49:08.681822+03,2021-01-01 01:01:25.878698+03,Нет,56,,2261,Нет,Обычная,ЗелАО,1000,Старое Крюково,1012,Закрыта,15787,,Выполнено,,2021-01-01 01:01:25.878698+03,,,
73407599,73407984,00000046/21,2021-01-01 00:50:01.180841+03,2021-01-01 01:41:40.207528+03,Нет,1594,,2229,Нет,Аварийная,СВАО,300,Южное Медведково,316,Закрыта,18262,15378,Оказана консультация,,2021-01-01 01:41:40.207528+03,,,
73407606,73514325,00000047/21,2021-01-01 00:51:02.495088+03,2021-01-03 14:55:23.365107+03,Нет,1594,,2231,Нет,Аварийная,ЦАО,100,Якиманка,110,Закрыта,15549,,Выполнено,,2021-01-01 11:58:16.840928+03,Работы выполнены,Хорошо,good
73407609,73408319,00000048/21,2021-01-01 00:51:10.841704+03,2021-01-01 02:24:48.593901+03,Нет,56,,2261,Нет,Обычная,ВАО,400,Косино-Ухтомский,409,Закрыта,15471,,Выполнено,,2021-01-01 02:24:48.593901+03,,,
73407620,73407892,00000049/21,2021-01-01 00:52:40.655969+03,2021-01-01 01:29:50.545344+03,Нет,51,,1777,Да,Обычная,ЮВАО,500,Кузьминки,506,Закрыта,18257,,Не выполнено по инициативе жителя,,2021-01-01 01:29:50.545344+03,,,
73407626,73514324,00000050/21,2021-01-01 00:53:30.429361+03,2021-01-03 14:55:22.94109+03,Нет,53,,2388,Нет,Аварийная,ЮВАО,500,Текстильщики,514,Закрыта,18290,15936,Выполнено,,2021-01-01 01:21:07.822116+03,Работы выполнены,Хорошо,good
73407628,73407760,00000051/21,2021-01-01 00:53:44.820975+03,2021-01-01 01:08:45.800673+03,Нет,59,,1822,Нет,Аварийная,ЮЗАО,700,Черемушки,710,Закрыта,18254,15404,Не выполнено по инициативе жителя,,2021-01-01 01:08:45.800673+03,,,
73407631,73518675,00000052/21,2021-01-01 00:54:49.801684+03,2021-01-03 15:55:35.371796+03,Нет,59,,2149,Да,Обычная,ЮВАО,500,Люблино,508,Закрыта,18261,15378,Не выполнено по инициативе жителя,,2021-01-01 01:24:39.826169+03,Работы не выполнены,Плохо,bad
73407642,73407876,00000053/21,2021-01-01 00:55:44.720843+03,2021-01-01 01:26:53.741451+03,Нет,51,,1771,Нет,Обычная,СВАО,300,Северное Медведково,314,Закрыта,15142,,Выполнено,,2021-01-01 01:26:53.741451+03,,,
73407643,73407952,00000054/21,2021-01-01 00:55:52.76962+03,2021-01-01 01:36:59.722568+03,Нет,59,,2273,Да,Обычная,ЗАО,800,Внуково,813,Закрыта,15514,,Выполнено,,2021-01-01 01:36:59.722568+03,,,
73407644,73407865,00000055/21,2021-01-01 00:55:56.389977+03,2021-01-01 01:25:36.007904+03,Нет,1594,,4094,Нет,Аварийная,ЮАО,600,Бирюлево Западное,607,Закрыта,18324,18426,Выполнено,,2021-01-01 01:25:36.007904+03,,,
73407647,73410754,00000056/21,2021-01-01 00:56:05.371949+03,2021-01-01 08:48:22.221946+03,Нет,1597,,2234,Нет,Обычная,ВАО,400,Косино-Ухтомский,409,Закрыта,15213,,Выполнено,,2021-01-01 08:48:22.221946+03,,,
73407648,73408146,00000057/21,2021-01-01 00:56:14.690138+03,2021-01-01 02:05:30.015322+03,Нет,51,,1777,Да,Обычная,СВАО,300,Северный,315,Закрыта,18361,,Выполнено,,2021-01-01 02:05:30.015322+03,,,
73407656,73408126,00000058/21,2021-01-01 00:56:49.512947+03,2021-01-01 02:01:38.811286+03,Нет,59,,1822,Нет,Аварийная,СЗАО,900,Хорошево-Мневники,906,Закрыта,15605,15404,Выполнено,,2021-01-01 02:01:38.811286+03,,,
73407662,73407681,00000059/21,2021-01-01 00:57:42.640515+03,2021-01-01 01:00:00.442783+03,Нет,49,winter_works,3391,Нет,Обычная,СВАО,300,Свиблово,313,Закрыта,14979,,Оказана консультация,,2021-01-01 01:00:00.442783+03,,,
73407663,73514322,00000060/21,2021-01-01 00:57:50.7613+03,2021-01-03 14:55:22.09296+03,Нет,51,,1777,Да,Обычная,ЮАО,600,Даниловский,609,Закрыта,15079,,Выполнено,,2021-01-01 02:19:54.841186+03,,,
73407666,73514321,00000061/21,2021-01-01 00:58:28.871184+03,2021-01-03 14:55:21.675409+03,Нет,59,,2279,Нет,Аварийная,ВАО,400,Восточное Измайлово,405,Закрыта,18254,15378,Не выполнено по инициативе жителя,,2021-01-01 01:20:41.616219+03,Работы выполнены,Хорошо,good
73407667,73407961,00000062/21,2021-01-01 00:58:31.748518+03,2021-01-01 01:38:26.466142+03,Нет,57,,2017,Да,Обычная,СЗАО,900,Щукино,907,Закрыта,15514,,Выполнено,,2021-01-01 01:38:26.466142+03,,,
73407674,73514319,00000063/21,2021-01-01 00:59:02.723909+03,2021-01-03 14:55:20.80089+03,Нет,53,,2297,Нет,Обычная,ВАО,400,Соколиная Гора,417,Закрыта,15121,,Выполнено,,2021-01-01 03:52:38.623206+03,,,
73407683,73441509,00000064/21,2021-01-01 01:00:36.181749+03,2021-01-01 21:50:13.371862+03,Нет,1594,,2289,Нет,Обычная,ЮВАО,500,Марьино,509,Закрыта,15977,,Выполнено,,2021-01-01 21:50:13.371862+03,,,
73407689,73407702,00000065/21,2021-01-01 01:01:02.320344+03,2021-01-01 01:02:32.062596+03,Нет,53,,2297,Нет,Обычная,ЦАО,100,Красносельский,104,Закрыта,18256,,Оказана консультация,,2021-01-01 01:02:32.062596+03,,,
73407697,73518670,00000066/21,2021-01-01 01:02:02.263125+03,2021-01-03 15:55:33.744175+03,Нет,1594,,2263,Да,Обычная,САО,200,Бескудниковский,203,Закрыта,15140,,Выполнено,,2021-01-01 02:09:04.20969+03,Работы выполнены,Хорошо,good
73407698,73407895,00000067/21,2021-01-01 01:02:02.504875+03,2021-01-01 01:30:09.62642+03,Нет,51,,1771,Нет,Обычная,СЗАО,900,Куркино,901,Закрыта,15142,,Выполнено,,2021-01-01 01:30:09.62642+03,,,
73407710,73417305,00000068/21,2021-01-01 01:03:47.862114+03,2021-01-01 12:04:57.598074+03,Нет,53,,2297,Нет,Обычная,ЮВАО,500,Марьино,509,Закрыта,15910,,Выполнено,,2021-01-01 12:04:57.598074+03,,,
73407714,73408137,00000069/21,2021-01-01 01:04:11.743175+03,2021-01-01 02:04:16.103968+03,Нет,59,,2150,Да,Обычная,ЮЗАО,700,Северное Бутово,708,Закрыта,18278,,Выполнено,,2021-01-01 02:04:16.103968+03,,,
73407715,73514316,00000070/21,2021-01-01 01:04:22.571685+03,2021-01-03 14:55:19.964817+03,Нет,1595,,2288,Да,Обычная,САО,200,Ховрино,216,Закрыта,16010,,Выполнено,,2021-01-01 01:47:48.580012+03,,,
73407727,73409625,00000071/21,2021-01-01 01:05:43.590121+03,2021-01-01 06:49:42.242007+03,Нет,49,winter_works,2203,Нет,Обычная,СВАО,300,Бабушкинский,303,Закрыта,18262,,Оказана консультация,,2021-01-01 06:49:42.242007+03,,,
73407730,73408655,00000072/21,2021-01-01 01:06:05.399511+03,2021-01-01 03:18:46.268954+03,Нет,1595,,2189,Нет,Аварийная,ЮВАО,500,Люблино,508,Закрыта,15529,15102,Выполнено,,2021-01-01 03:18:46.268954+03,,,
73407735,73408720,00000073/21,2021-01-01 01:06:34.386846+03,2021-01-01 03:32:24.981324+03,Нет,1594,,2298,Нет,Обычная,ЮВАО,500,Марьино,509,Закрыта,18256,,Оказана консультация,,2021-01-01 03:32:24.981324+03,,,
73407737,73407976,00000074/21,2021-01-01 01:07:09.541396+03,2021-01-01 01:40:44.410668+03,Нет,1595,,2209,Нет,Аварийная,ЗАО,800,Солнцево,816,Закрыта,16010,13780,Выполнено,,2021-01-01 01:40:44.410668+03,,,
73407743,73408729,00000075/21,2021-01-01 01:07:29.28278+03,2021-01-01 03:33:53.262106+03,Нет,1594,,2159,Да,Обычная,ЮВАО,500,Марьино,509,Закрыта,15740,,Выполнено,,2021-01-01 03:33:53.262106+03,,,
73407745,73409622,00000076/21,2021-01-01 01:07:50.023137+03,2021-01-01 06:49:16.593348+03,Нет,49,winter_works,2203,Нет,Обычная,СВАО,300,Бабушкинский,303,Закрыта,18262,,Оказана консультация,,2021-01-01 06:49:16.593348+03,,,
73407758,73408058,00000077/21,2021-01-01 01:08:30.871607+03,2021-01-01 01:54:15.405361+03,Нет,1594,,2229,Нет,Аварийная,ЗАО,800,Филевский Парк,818,Закрыта,15288,18426,Выполнено,,2021-01-01 01:54:15.405361+03,,,
73407768,73410585,00000078/21,2021-01-01 01:10:42.725678+03,2021-01-01 08:37:44.090598+03,Нет,1597,,2234,Нет,Обычная,ЗАО,800,Ново-Переделкино,811,Закрыта,15213,,Выполнено,,2021-01-01 08:37:44.090598+03,,,
73407771,73514313,00000079/21,2021-01-01 01:11:38.227617+03,2021-01-03 14:55:19.092703+03,Нет,57,,2017,Да,Обычная,ЗАО,800,Тропарево-Никулино,817,Закрыта,18257,,Не выполнено по инициативе жителя,,2021-01-01 01:33:20.847214+03,Работы выполнены,Хорошо,good
73407776,73407957,00000080/21,2021-01-01 01:11:59.497729+03,2021-01-01 01:37:39.134574+03,Нет,51,,1771,Нет,Обычная,СВАО,300,Бабушкинский,303,Закрыта,15142,,Выполнено,,2021-01-01 01:37:39.134574+03,,,
